№ закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус№1;Цена победителя;№2;Статус №2;Цена №2;Дата окончания контракта;Дата начала контракта;ИНН;Адрес;Контакты;ФИО Руководителя
№ 0124300022121000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000005;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";14.01.2021;2 363 383,40 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300022121000005;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;;;;;;;;;;;
№ 32109891020;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109891020;Закупка завершена;выполнение работ по содержанию автомобильныхдорогобщего пользования и сооружений на них в Котласском районеАрхангельскойобласти (остановски);"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТЛАССКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";14.01.2021;262 500,00 ₽;;;;;;;;;;;;;;
№ 0124300022121000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000003;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";13.01.2021;3 162 104,06 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300022121000003;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Пестова Л. Н.;;3 162 104,06;31.12.2021;02.02.2021;Да;ОБЛ АРХАНГЕЛЬСКАЯ 29, Г СЕВЕРОДВИНСК;7-952-3053130fishka-f@mail.ru;
№ 32109888168;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109888168;Закупка завершена;выполнение работ по содержанию автомобильныхдорогобщего пользования и сооружений на них в Котласском районеАрхангельскойобласти (остановки);"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТЛАССКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";13.01.2021;250 000,00 ₽;;;;;;;;;;;;;;
№ 0124300022121000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000001;Определение поставщика отменено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";12.01.2021;3 163 531,11 ₽;;;;;;;;;;;;;;
№ 32109884092;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109884092;Закупка завершена;Выполнение работ по содержанию автомобильныхдорогобщего пользования и сооружений на них в Котласском районеАрхангельскойобласти;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТЛАССКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";12.01.2021;8 236 800,00 ₽;;;;;;;;;;;;;;
№ 0330100010520000135;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010520000135;Определение поставщика завершено;"Установка комплексов фотовидеофиксации нарушенийправил дорожного движения на участках км 716+731 (средняя скорость сустановленным комплексом на км 724+250), км 735+900 – 753+650 (средняяскорость), км 790+500 – км 805+500 (средняя скорость), км 840+509, автомобильнойдорогиобщего пользования федерального значения М-8 ""Холмогоры""Москва – Ярославль – Вологда –Архангельск(вАрхангельскойобласти)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.12.2020;18 303 905,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010520000135;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОЖНЫЕ МОНИТОРИНГОВЫЕ СИСТЕМЫ""";1 - Победитель;18 212 385,47;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСРОБОТ""";2 - Второй номер;18 212 385,47;30.08.2021;05.02.2021;9731039472;121205, г. Москва, Сколково территория инновационного центра, ул. Нобеля, дом 7, этаж 2, помещение 56, Раб 3;субъект малого предпринимательства;
№ 0330100010520000134;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010520000134;Определение поставщика завершено;"Установка комплексов фотовидеофиксации нарушенийправил дорожного движения на участках км 1219+339 (справа) - км 1224+555(справа) (средняя скорость), км 1219+237 (слева) - км 1224+856 (слева) (средняяскорость), км 978+500–985+500 (средняя скорость), автомобильнойдорогиобщегопользования федерального значения М-8 ""Холмогоры"" Москва – Ярославль– Вологда –Архангельск(вАрхангельскойобласти)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.12.2020;18 303 905,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010520000134;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОЖНЫЕ МОНИТОРИНГОВЫЕ СИСТЕМЫ""";1 - Победитель;18 212 385,47;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСРОБОТ""";2 - Второй номер;18 212 385,47;30.08.2021;02.02.2021;9731039472;121205, г.Москва, Сколково территория инновационного центра,, ул. Нобеля, дом 7, этаж 2, помещение 56, Раб 3;субъект малого предпринимательства;
№ 0124300010420000119;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300010420000119;Определение поставщика завершено;"Оказание услуг по зимнему содержаниюдорогМО ""Емецкое""";"КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ХОЛМОГОРСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";26.12.2020;2 300 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300010420000119;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ХОЛМОГОРСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Резвый Н. С.;;2 300 000,00;31.12.2021;27.01.2021;Да;ОБЛ АРХАНГЕЛЬСКАЯ 29, Р-Н ХОЛМОГОРСКИЙ, Д ЗАПОЛЬЕ, Д. 23;7-921-295059679212950596@yandex.ru;
№ 0324300061820000122;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0324300061820000122;Определение поставщика завершено;Выполнение работ по обустройству и содержанию ледовой переправы через реку Онега в районе п.Липаково Плесецкого районаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПЛЕСЕЦКИЙ РАЙОН""АРХАНГЕЛЬСКАЯОБЛАСТЬ РОССИЙСКАЯ ФЕДЕРАЦИЯ";25.12.2020;407 550,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0324300061820000122;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПЛЕСЕЦКИЙ РАЙОН"" АРХАНГЕЛЬСКАЯ ОБЛАСТЬ РОССИЙСКАЯ ФЕДЕРАЦИЯ";Минт А. П.;1 - Победитель;170 000,00;Кучумов Е. С.;2 - Второй номер;187 962,25;30.04.2021;27.01.2021;Да;Архангельская обл, Плесецкий район, п.Липаково, ул.Строительная, дом 5, корп. А, кв. 1;7-921-0777752ooo.sdl@yandex.ru;
№ 0324300061820000121;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0324300061820000121;Определение поставщика завершено;Выполнение работ по обустройству и содержанию ледовой переправы через реку Онега в районе п. Улитино  Плесецкого районаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПЛЕСЕЦКИЙ РАЙОН""АРХАНГЕЛЬСКАЯОБЛАСТЬ РОССИЙСКАЯ ФЕДЕРАЦИЯ";25.12.2020;313 500,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0324300061820000121;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПЛЕСЕЦКИЙ РАЙОН"" АРХАНГЕЛЬСКАЯ ОБЛАСТЬ РОССИЙСКАЯ ФЕДЕРАЦИЯ";;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;Кучумов Е. С.;;311 932,50;30.04.2021;27.01.2021;Да;г.Архангельск, ул. Огородная 3;7-911-5782089srubarh@mail.ru;
№ 32009836557;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009836557;Закупка завершена;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 6781/ОАЭ-ТЭ/20 на право заключения договора выполнения работ по вырубке нежелательной древесно-кустарниковой растительности за полосой отвода Северной дирекции по энергообеспечению в границахАрхангельскойдистанции электроснабжения;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";23.12.2020;14 942 377,93 ₽;;;;;;;;;;;;;;
№ 0124200000620008188;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0124200000620008188;Определение поставщика завершено;Производство   инженерных изысканий и разработка проектной документации  на капитальный ремонт автомобильнойдорогиКозловская - Большое Каргачево, км 20+312, искусственное сооружение через ручей Шилостиха  в Вельском   районе;КОНТРАКТНОЕ АГЕНТСТВОАРХАНГЕЛЬСКОЙОБЛАСТИ;22.12.2020;1 286 400,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124200000620008188;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ДОРОЖНОЕ АГЕНТСТВО ""АРХАНГЕЛЬСКАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСТСЕРВИС""";1 - Победитель;1 049 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРКТИКТРАНСПРОЕКТ""";2 - Второй номер;1 090 000,00;15.11.2021;16.02.2021;2901132648;15.11.2021;15.02.2021;
№ 0124200000620008183;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124200000620008183;Определение поставщика завершено;выполнение отдельных видов работ по содержанию автомобильнойдорогиобщего пользования регионального значения Карпогоры – Сосновка – Нюхча – граница с республикой Коми в Пинежском районеАрхангельскойобласти;КОНТРАКТНОЕ АГЕНТСТВОАРХАНГЕЛЬСКОЙОБЛАСТИ;22.12.2020;120 886 803,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124200000620008183;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ДОРОЖНОЕ АГЕНТСТВО ""АРХАНГЕЛЬСКАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОПОРА""";1 - Победитель;114 238 028,78;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЗЕНСКОЕ ДОРОЖНОЕ УПРАВЛЕНИЕ""";2 - Второй номер;114 842 462,80;20.12.2021;12.02.2021;2901285115;163045, г. Архангельск, Талажское шоссе, дом 5, строение 6;7-8182-275702opora029@gmail.com;
№ 0330100010520000133;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010520000133;Определение поставщика завершено;Оказание услуг по содержанию автомобильнойдорогиобщего пользованияфедерального значения А-215 Лодейное Поле – Вытегра – Прокшино – Плесецк – Брин-Наволок сподъездом к г. Петрозаводск км 0+012 – км 2+838 (в Вологодской области);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.12.2020;6 719 578,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010520000133;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОРОГИ ВЫТЕГРА""";;6 719 578,00;31.12.2022;27.01.2021;3508009560;31.12.2021;01.11.2021;
№ 32009829429;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009829429;Закупка завершена;Поставка горюче-смазочных материалов (автомобильного бензина Аи-92) для нужд филиала ФГП ВО ЖДТ России на Северной железнойдорогевАрхангельскойобласти;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";22.12.2020;1 203 638,60 ₽;;;;;;;;;;;;;;
№ 0124300006420000194;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300006420000194;Определение поставщика завершено;Выделение специализированной техники для выполнения работ по содержанию автомобильныхдорогобщего пользования местного значения МО «Октябрьское» Устьянского районаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УСТЬЯНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";21.12.2020;437 332,76 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300006420000194;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКТЯБРЬСКОЕ"" УСТЬЯНСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЛАГОВЕСТ""";;435 146,09;31.01.2022;22.01.2021;2922008514;165210, ОБЛ АРХАНГЕЛЬСКАЯ 29, Р-Н УСТЬЯНСКИЙ, - ОКТЯБРЬСКИЙ, УЛ ЛЕНИНА, ДОМ 2, КВАРТИРА 38;7-921-6733300chertov_iur@mail.ru;
№ 0124300006420000193;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300006420000193;Определение поставщика завершено;"Выполнение работ по очистке от снега механизированным способом, подсыпке противогололедным материалом (ПС), тротуаров, примыканий, пешеходных переходов, механизированная очистка от пыли и грязи автомобильныхдорогобщего пользования на территории МО ""Октябрьское"" Устьянского районаАрхангельскойобласти";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УСТЬЯНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";21.12.2020;729 600,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300006420000193;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКТЯБРЬСКОЕ"" УСТЬЯНСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""БЛАГОУСТРОЙСТВО""";;729 600,00;30.01.2022;15.01.2021;2922008176;165210, ОБЛ АРХАНГЕЛЬСКАЯ 29, Р-Н УСТЬЯНСКИЙ, - ОКТЯБРЬСКИЙ, УЛ КОМСОМОЛЬСКАЯ, 13;7-921-2912222bmup@yandex.ru;
№ 0124300006420000192;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300006420000192;Определение поставщика завершено;Выделение специализированной техники для выполнения работ по содержанию автомобильныхдорогобщего пользования местного значения МО «Октябрьское» Устьянского районаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УСТЬЯНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";21.12.2020;1 518 997,40 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300006420000192;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКТЯБРЬСКОЕ"" УСТЬЯНСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;Бардеев В. А.;;1 511 402,41;31.01.2022;19.01.2021;Да;165210, Российская Федерация, Архангельская область, Устьянский, Октябрьский, Детский пер, 5 офис (квартира) 1;7-81855-51572vasbardeev@mail.ru;
№ 0124300006420000191;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300006420000191;Определение поставщика завершено;Выделение специализированной техники для выполнения работ по содержанию автомобильныхдорогобщего пользования местного значения МО «Октябрьское» Устьянского районаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УСТЬЯНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";21.12.2020;1 421 602,60 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300006420000191;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКТЯБРЬСКОЕ"" УСТЬЯНСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Бардеев В. А.;;1 421 602,60;30.01.2022;14.01.2021;Да;165210, Российская Федерация, Архангельская область, Октябрьский, Устьянский, Заводская, 5а;7-818555-51572vasbardeev@mail.ru;
№ 0124300006420000190;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300006420000190;Определение поставщика завершено;Выделение специализированной техники для выполнения работ по содержанию автомобильныхдорогобщего пользования местного значения МО «Октябрьское» Устьянского районаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УСТЬЯНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";21.12.2020;349 600,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300006420000190;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКТЯБРЬСКОЕ"" УСТЬЯНСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЛАГОВЕСТ""";;347 852,00;31.01.2022;11.02.2021;2922008514;165210, ОБЛ АРХАНГЕЛЬСКАЯ 29, Р-Н УСТЬЯНСКИЙ, - ОКТЯБРЬСКИЙ, УЛ ЛЕНИНА, ДОМ 2, КВАРТИРА 38;7-921-6733300chertov_iur@mail.ru;
№ 0124300006420000189;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300006420000189;Определение поставщика завершено;Выделение специализированной техники для выполнения работ по содержанию автомобильныхдорогобщего пользования местного значения МО «Октябрьское» Устьянского районаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УСТЬЯНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";21.12.2020;397 599,90 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300006420000189;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКТЯБРЬСКОЕ"" УСТЬЯНСКОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Бардеев В. А.;;397 599,90;30.01.2022;19.01.2021;Да;165210, Российская Федерация, Архангельская область, Октябрьский, Устьянский, Заводская, 5а;7-81855-51572vasbardeev@mail.ru;
№ 0124300007020000097;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300007020000097;Определение поставщика завершено;Содержание автомобильныхдорогобщего пользования местного значения в границах Каргопольского муниципального округаАрхангельскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРГОПОЛЬСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";21.12.2020;5 500 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300007020000097;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРГОПОЛЬСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОРОГИ""";;5 500 000,00;31.12.2021;18.01.2021;2901115427;163039, ОБЛ АРХАНГЕЛЬСКАЯ 29, Г АРХАНГЕЛЬСК, УЛ ДОРОЖНИКОВ, 6;8-8182-626919***@MAIL.RU;
№ 32009826339;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009826339;Закупка завершена;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 4521/ЗКТЭ-СЕВ/20 на право заключения договора оказания услуг по техническому обслуживанию и текущему ремонту автомобилейАрхангельскогоучастка;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";21.12.2020;624 000,00 ₽;;;;;;;;;;;;;;
